Image_ID,Class
frame0.jpg,0
frame1.jpg,0
frame2.jpg,0
frame3.jpg,0
frame4.jpg,0
frame5.jpg,0
frame6.jpg,0
frame7.jpg,0
frame8.jpg,0
frame9.jpg,0
frame10.jpg,0
frame11.jpg,0
frame12.jpg,0
frame13.jpg,0
frame14.jpg,0
frame15.jpg,0
frame16.jpg,0
frame17.jpg,0
frame18.jpg,0
frame19.jpg,0
frame20.jpg,0
frame21.jpg,0
frame22.jpg,0
frame23.jpg,0
frame24.jpg,0
frame25.jpg,0
frame26.jpg,1
frame27.jpg,1
frame28.jpg,1
frame29.jpg,1
frame30.jpg,1
frame31.jpg,1
frame32.jpg,1
frame33.jpg,1
frame34.jpg,1
frame35.jpg,1
frame36.jpg,1
frame37.jpg,1
frame38.jpg,1
frame39.jpg,1
frame40.jpg,1
frame41.jpg,1
frame42.jpg,1
frame43.jpg,1
frame44.jpg,1
frame45.jpg,1
frame46.jpg,1
frame47.jpg,1
frame48.jpg,1
frame49.jpg,1
frame50.jpg,1
frame51.jpg,1
frame52.jpg,1
frame53.jpg,1
frame54.jpg,1
frame55.jpg,1
frame56.jpg,1
frame57.jpg,1
frame58.jpg,1
frame59.jpg,1
frame60.jpg,1
frame61.jpg,1
frame62.jpg,1
frame63.jpg,1
frame64.jpg,1
frame65.jpg,1
frame67.jpg,1
frame68.jpg,1
frame69.jpg,1
frame70.jpg,1
frame71.jpg,1
frame72.jpg,1
frame73.jpg,1
frame74.jpg,1
frame75.jpg,1
frame76.jpg,1
frame77.jpg,1
frame78.jpg,1
frame79.jpg,1
frame80.jpg,1
frame81.jpg,1
frame82.jpg,1
frame83.jpg,1
frame84.jpg,1
frame85.jpg,2
frame86.jpg,2
frame87.jpg,2
frame88.jpg,2
frame89.jpg,2
frame90.jpg,2
frame91.jpg,2
frame92.jpg,2
frame93.jpg,2
frame94.jpg,2
frame95.jpg,2
frame96.jpg,2
frame97.jpg,2
frame98.jpg,2
frame99.jpg,2
frame100.jpg,2
frame101.jpg,2
frame102.jpg,2
frame103.jpg,2
frame104.jpg,2
frame105.jpg,2
frame106.jpg,2
frame107.jpg,2
frame108.jpg,2
frame109.jpg,2
frame110.jpg,2
frame111.jpg,2
frame112.jpg,2
frame113.jpg,2
frame114.jpg,2
frame115.jpg,2
frame116.jpg,0
frame117.jpg,0
frame118.jpg,0
